kernel,parameter,pipelineWidth,robSize,branchPredictor,l1Size,l1Associativity,l1ReplacementPolicy,l1Prefetcher,l2Size,l2Associativity,l2ReplacementPolicy,l2Prefetcher,ipc,cpi,simSeconds,numInstructions,numCycles,branchLookups,branchMispredicted,branchMispredictionRate,l1iAccesses,l1iMisses,l1iHitRate,l1iAvgMissLatency,l1iAMATCycles,icacheStallCycles,l1dAccesses,l1dHits,l1dMisses,l1dHitRate,l1dAMATCycles,l2Accesses,l2Misses,l2HitRate,l2AvgMissLatency,l2AMATCycles,l2MPKI,dramReadAccesses,dramWriteAccesses,memAvgLat,commitSquashedInsts,memOrderViolations,dispatchRenameStalls,dispatchIssueStalls,iqFullEvents,dramTotalEnergy,dramAveragePower
compute,l2p_ampm,4,192,tournament,32KiB,4,None,None,256KiB,8,None,ampm,2.285332,0.437573,0.004596,33613812.0,14682522.0,1048734.0,3.0,2.8605919136787783e-06,4195017.0,1.0,0.9999997616219434,97656.0,,78.0,21686528.0,21686528.0,0.0,1.0,,1.0,,,,,,0.0,0.0,,3682.0,191.0,340.0,340.0,0.0,2140605300.0,465.791542
compute,l2p_signature,4,192,tournament,32KiB,4,None,None,256KiB,8,None,signature,2.285322,0.437575,0.004596,33613812.0,14682589.0,1048733.0,3.0,2.8605946413434114e-06,4195015.0,3.0,0.9999992848654892,35786.333333,1.0000364661389762,99.0,21686529.0,21686529.0,0.0,1.0,1.0,2.0,1.0,0.5,98595.0,50.992,2.97496755202891e-05,1.0,0.0,25620.0,3660.0,191.0,337.0,337.0,0.0,2139430170.0,465.533712
compute,l2p_stride,4,192,tournament,32KiB,4,None,None,256KiB,8,None,stride,2.285297,0.43758,0.004596,33613812.0,14682751.0,1048734.0,3.0,2.8605919136787783e-06,4195018.0,2.0,0.9999995232440004,74337.5,1.0000201824163786,100.0,21686535.0,21686535.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3685.0,191.0,340.0,340.0,0.0,2140461555.0,465.753
compute,l2p_tagged,4,192,tournament,32KiB,4,None,None,256KiB,8,None,tagged,2.285322,0.437575,0.004596,33613812.0,14682589.0,1048733.0,3.0,2.8605946413434114e-06,4195015.0,3.0,0.9999992848654892,35786.333333,1.0000364661389762,99.0,21686529.0,21686529.0,0.0,1.0,1.0,2.0,1.0,0.5,98595.0,50.992,2.97496755202891e-05,1.0,0.0,25620.0,3660.0,191.0,337.0,337.0,0.0,2142338835.0,466.166629
compute,l2s_1MB,4,192,tournament,32KiB,4,None,None,1MB,8,None,None,2.285297,0.43758,0.004596,33613812.0,14682751.0,1048734.0,3.0,2.8605919136787783e-06,4195018.0,2.0,0.9999995232440004,74337.5,1.0000201824163786,100.0,21686535.0,21686535.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3685.0,191.0,340.0,340.0,0.0,2140461555.0,465.753
compute,l2s_4MB,4,192,tournament,32KiB,4,None,None,4MB,8,None,None,2.285297,0.43758,0.004596,33613812.0,14682751.0,1048734.0,3.0,2.8605919136787783e-06,4195018.0,2.0,0.9999995232440004,74337.5,1.0000201824163786,100.0,21686535.0,21686535.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3685.0,191.0,340.0,340.0,0.0,2140461555.0,465.753
compute,pred_bimodal,4,192,bimodal,32KiB,4,None,None,256KiB,8,None,None,2.285274,0.437584,0.004596,33613812.0,14682899.0,1048804.0,11.0,1.0488136963627141e-05,4195067.0,3.0,0.9999992848743536,49871.333333,1.0000302732709625,110.0,21712391.0,21712391.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3954.0,191.0,370.0,370.0,0.0,2141198085.0,465.908568
compute,pred_local,4,192,local,32KiB,4,None,None,256KiB,8,None,None,2.285296,0.43758,0.004596,33613812.0,14682754.0,1048745.0,3.0,2.8605619097111307e-06,4195019.0,3.0,0.9999992848661711,49871.333333,1.0000302736173534,102.0,21712371.0,21712371.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3682.0,191.0,341.0,341.0,0.0,2140257345.0,465.708469
compute,pred_none,4,192,none,32KiB,4,None,None,256KiB,8,None,None,2.285297,0.43758,0.004596,33613812.0,14682751.0,1048734.0,3.0,2.8605919136787783e-06,4195018.0,2.0,0.9999995232440004,74337.5,1.0000201824163786,100.0,21686535.0,21686535.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3685.0,191.0,340.0,340.0,0.0,2140461555.0,465.753
compute,pred_perceptron,4,192,perceptron,32KiB,4,None,None,256KiB,8,None,None,2.285298,0.43758,0.004596,33613812.0,14682743.0,1048744.0,3.0,2.8605646373185447e-06,4195015.0,3.0,0.9999992848654892,49871.333333,1.00003027364622,103.0,21611478.0,21611478.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3668.0,189.0,340.0,340.0,0.0,2140500615.0,465.761753
